,icon,maxscore,certified fresh,fresh/rotten,genre(s),imdb score,likes,movie id,movie name,time period,release year,score,scorer
0,AUDIENCE FRESH,100,0,fresh,"Drama,Music",74,,1,'Round Midnight,1985,1986,89,audience
1,CRITIC FRESH,100,0,fresh,"Drama,Music",74,,1,'Round Midnight,1985,1986,100,critic
2,AUDIENCE ROTTEN,100,0,rotten,"Romance,Comedy",48,,2,'Til There Was You,1995,1997,34,audience
3,CRITIC ROTTEN,100,0,rotten,"Romance,Comedy",48,,2,'Til There Was You,1995,1997,5,critic
4,AUDIENCE FRESH,100,0,fresh,"Comedy,Family,Fantasy",66,,3,*batteries not included,1985,1987,64,audience
5,CRITIC FRESH,100,0,fresh,"Comedy,Family,Fantasy",66,,3,*batteries not included,1985,1987,60,critic
6,AUDIENCE ROTTEN,100,0,fresh,"Comedy,Romance",60,,4,10,1975,1979,53,audience
7,CRITIC FRESH,100,0,fresh,"Comedy,Romance",60,,4,10,1975,1979,68,critic
8,AUDIENCE FRESH,100,1,fresh,"Drama,Horror,Mystery",72,1151.0,5,10 Cloverfield Lane,2015,2016,79,audience
9,CERTIFIED FRESH,100,1,fresh,"Drama,Horror,Mystery",72,1151.0,5,10 Cloverfield Lane,2015,2016,90,critic
16,AUDIENCE FRESH,100,0,fresh,"Comedy,Drama",67,,6,10 Items or Less,2005,2006,65,audience
17,CRITIC FRESH,100,0,fresh,"Comedy,Drama",67,,6,10 Items or Less,2005,2006,63,critic
18,AUDIENCE FRESH,100,0,fresh,"Comedy,Drama,Romance",73,3569.0,7,10 Things I Hate About You,1995,1999,69,audience
19,CRITIC FRESH,100,0,fresh,"Comedy,Drama,Romance",73,3569.0,7,10 Things I Hate About You,1995,1999,62,critic
24,AUDIENCE ROTTEN,100,0,fresh,"Comedy,Drama,Romance",61,100.0,8,10 Years,2010,2011,40,audience
25,CRITIC FRESH,100,0,fresh,"Comedy,Drama,Romance",61,100.0,8,10 Years,2010,2011,60,critic
36,AUDIENCE ROTTEN,100,0,fresh,"Comedy,Romance",59,,9,100 Girls,2000,2000,50,audience
37,CRITIC FRESH,100,0,fresh,"Comedy,Romance",59,,9,100 Girls,2000,2000,60,critic
38,AUDIENCE FRESH,100,1,fresh,"Adventure,Comedy,Crime",57,1140.0,10,101 Dalmatians,1995,1996,75,audience
39,CERTIFIED FRESH,100,1,fresh,"Adventure,Comedy,Crime",57,1140.0,10,101 Dalmatians,1995,1996,98,critic
52,AUDIENCE FRESH,100,0,fresh,"Comedy,Crime,Drama",72,120.0,11,11:14,2000,2003,76,audience
53,CRITIC FRESH,100,0,fresh,"Comedy,Crime,Drama",72,120.0,11,11:14,2000,2003,92,critic
58,AUDIENCE ROTTEN,100,0,rotten,"Action,Crime,Thriller",56,64.0,12,12 Rounds,2005,2009,45,audience
59,CRITIC ROTTEN,100,0,rotten,"Action,Crime,Thriller",56,64.0,12,12 Rounds,2005,2009,30,critic
62,AUDIENCE FRESH,100,1,fresh,"Adventure,Biography,Drama",76,2383.0,13,127 Hours,2010,2010,85,audience
63,CERTIFIED FRESH,100,1,fresh,"Adventure,Biography,Drama",76,2383.0,13,127 Hours,2010,2010,93,critic
74,AUDIENCE FRESH,100,0,fresh,"Comedy,Fantasy,Romance",61,,14,13 Going on 30,2000,2004,70,audience
75,CRITIC FRESH,100,0,fresh,"Comedy,Fantasy,Romance",61,,14,13 Going on 30,2000,2004,64,critic
76,AUDIENCE FRESH,100,1,fresh,"Drama,Horror",68,1130.0,15,1408,2005,2007,61,audience
77,CERTIFIED FRESH,100,1,fresh,"Drama,Horror",68,1130.0,15,1408,2005,2007,79,critic
86,AUDIENCE ROTTEN,100,0,rotten,"Adventure,Biography,Drama",65,,16,1492: Conquest of Paradise,1990,1992,51,audience
87,CRITIC ROTTEN,100,0,rotten,"Adventure,Biography,Drama",65,,16,1492: Conquest of Paradise,1990,1992,35,critic
88,AUDIENCE ROTTEN,100,0,rotten,"Action,Crime,Drama",61,6.0,17,15 Minutes,2000,2001,37,audience
89,CRITIC ROTTEN,100,0,rotten,"Action,Crime,Drama",61,6.0,17,15 Minutes,2000,2001,33,critic
98,AUDIENCE ROTTEN,100,0,rotten,"Action,Crime,Drama",66,464.0,18,16 Blocks,2005,2006,57,audience
99,CRITIC ROTTEN,100,0,rotten,"Action,Crime,Drama",66,464.0,18,16 Blocks,2005,2006,56,critic
126,AUDIENCE FRESH,100,0,rotten,"Comedy,Drama,Fantasy",64,2230.0,19,17 Again,2005,2009,67,audience
127,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama,Fantasy",64,2230.0,19,17 Again,2005,2009,56,critic
138,AUDIENCE FRESH,100,0,fresh,"Drama,Family,History",76,25.0,20,1776,1970,1972,84,audience
139,CRITIC FRESH,100,0,fresh,"Drama,Family,History",76,25.0,20,1776,1970,1972,67,critic
142,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Fantasy,Romance",57,,21,18 Again!,1985,1988,46,audience
143,CRITIC ROTTEN,100,0,rotten,"Comedy,Fantasy,Romance",57,,21,18 Again!,1985,1988,29,critic
144,AUDIENCE ROTTEN,100,0,rotten,"Action,Comedy,War",58,,22,1941,1975,1979,48,audience
145,CRITIC ROTTEN,100,0,rotten,"Action,Comedy,War",58,,22,1941,1975,1979,33,critic
146,AUDIENCE ROTTEN,100,0,rotten,"Drama,War",58,,23,1969,1985,1988,45,audience
147,CRITIC ROTTEN,100,0,rotten,"Drama,War",58,,23,1969,1985,1988,55,critic
148,AUDIENCE ROTTEN,100,0,fresh,"Comedy,Drama,Romance",60,,24,2 Days in New York,2010,2012,42,audience
149,CRITIC FRESH,100,0,fresh,"Comedy,Drama,Romance",60,,24,2 Days in New York,2010,2012,66,critic
150,AUDIENCE FRESH,100,1,fresh,"Comedy,Drama,Romance",68,,25,2 Days in Paris,2005,2007,71,audience
151,CERTIFIED FRESH,100,1,fresh,"Comedy,Drama,Romance",68,,25,2 Days in Paris,2005,2007,86,critic
152,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Crime,Thriller",65,,26,2 Days in the Valley,1995,1996,54,audience
153,CRITIC ROTTEN,100,0,rotten,"Comedy,Crime,Thriller",65,,26,2 Days in the Valley,1995,1996,59,critic
154,AUDIENCE ROTTEN,100,0,rotten,"Action,Crime,Thriller",59,1226.0,27,2 Fast 2 Furious,2000,2003,50,audience
155,CRITIC ROTTEN,100,0,rotten,"Action,Crime,Thriller",59,1226.0,27,2 Fast 2 Furious,2000,2003,36,critic
166,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Drama,Romance",59,170.0,28,200 Cigarettes,1995,1999,58,audience
